index,Rank,RatingTomatometer,Title,No. of Reviews,url,Year
0,1,97,Chicken Run,171,https://www.rottentomatoes.com/m/chicken_run,2000
1,2,100,The Taste of Others (Le goût des autres),59,https://www.rottentomatoes.com/m/the_taste_of_others,2000
2,3,93,Memento,180,https://www.rottentomatoes.com/m/memento,2000
3,4,93,Traffic,162,https://www.rottentomatoes.com/m/1103281-traffic,2000
4,5,97,The Life and Times of Hank Greenberg,65,https://www.rottentomatoes.com/m/the_life_and_times_of_hank_greenberg,2000
5,6,96,Yi Yi,85,https://www.rottentomatoes.com/m/yi_yi,2000
6,7,95,You Can Count On Me,105,https://www.rottentomatoes.com/m/you_can_count_on_me,2000
7,8,94,Best in Show,114,https://www.rottentomatoes.com/m/best_in_show,2000
8,9,96,Croupier,57,https://www.rottentomatoes.com/m/croupier,2000
9,10,91,High Fidelity,165,https://www.rottentomatoes.com/m/1095420-high_fidelity,2000
10,11,96,Not One Less,45,https://www.rottentomatoes.com/m/not_one_less,2000
11,12,94,Dark Days,68,https://www.rottentomatoes.com/m/dark_days,2000
12,13,95,The Filth and the Fury,40,https://www.rottentomatoes.com/m/filth_and_the_fury,2000
13,14,89,Almost Famous,169,https://www.rottentomatoes.com/m/almost_famous,2000
14,15,88,Cast Away,156,https://www.rottentomatoes.com/m/cast_away,2000
15,16,91,Panic,56,https://www.rottentomatoes.com/m/1104207-panic,2000
16,17,90,The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),77,https://www.rottentomatoes.com/m/widow_of_st_pierre,2000
17,18,87,Sexy Beast,135,https://www.rottentomatoes.com/m/sexy_beast,2000
18,19,88,Girlfight,96,https://www.rottentomatoes.com/m/girlfight,2000
19,20,90,Aimée & Jaguar,48,https://www.rottentomatoes.com/m/aimee_and_jaguar,2000
20,21,88,Exorcist: The Version You've Never Seen,82,https://www.rottentomatoes.com/m/exorcist_the_version_youve_never_seen,2000
21,22,86,State and Main,116,https://www.rottentomatoes.com/m/state_and_main,2000
22,23,85,The Emperor's New Groove,131,https://www.rottentomatoes.com/m/emperors_new_groove,2000
23,24,84,Meet the Parents,148,https://www.rottentomatoes.com/m/meet_the_parents,2000
24,25,84,Erin Brockovich,146,https://www.rottentomatoes.com/m/erin_brockovich,2000
25,26,88,Battle Royale,48,https://www.rottentomatoes.com/m/battle_royale,2000
26,27,85,Billy Elliot,118,https://www.rottentomatoes.com/m/billy_elliot,2000
27,28,87,Nico and Dani (Krámpack),54,https://www.rottentomatoes.com/m/nico_and_dani,2000
28,29,82,X-Men,173,https://www.rottentomatoes.com/m/xmen,2000
29,30,83,Nurse Betty,131,https://www.rottentomatoes.com/m/nurse_betty,2000
30,31,83,Thirteen Days,123,https://www.rottentomatoes.com/m/thirteen_days,2000
